14,11.3,11.9,,,
14.6,10.9,10.2,,,
9.5,11.7,11.6,,,
10.3,11.7,11.9,,,
12.6,7.6,10.3,,,
10.4,8.1,9.8,,,
10.9,8.1,14.8,,,
12.1,11.1,14.7,,,
10.8,14.3,9.8,,,
14.9,13.5,9.8,,,
15.4,13.7,11,,,
13.9,13.9,10.9,,,
13.4,14.3,12.4,,,
18.6,10.1,14.3,,,
15.4,10.5,16.9,,,
14.6,8.4,12.1,,,
13,9,10.3,,,
15,10.2,8,,,
12.9,10.1,11.9,,,
13.1,9.5,13.3,,,
14.1,12.4,9.2,,,
11.5,13,15.6,,,
9.1,12.8,10.5,,,
10.5,14.1,9.1,,,
9.6,14.6,8,,,
9.7,15.9,9.3,,,
10.5,13.1,10.5,,,
14.3,12.6,10.3,,,
10.9,8.3,12.3,,,
10.3,11.1,13.1,,,
,11.1,11.1,,,
