18.8,17.3,19.6,20.9,24,27.9
19.2,17.2,19.3,22.3,23.3,27.9
20.4,17.2,19.9,22.1,22.1,28
17.7,17.9,20.7,20.4,21.8,28.2
16.6,17.7,20.1,21.8,23.8,27.4
17.9,17.9,21,22.1,22.4,28.4
18.2,19,20.7,21.4,22.1,29.9
19.6,19.4,19.3,21.3,20.8,27.7
17.9,14.7,19.5,22.8,20.4,24.3
19.5,14.3,17.2,21.5,21,25.9
20.8,16.9,19,21.8,21.1,24.1
19.8,16.9,18.5,21.8,22.9,21.3
18.7,18.8,18.6,21.9,23.7,20.8
15.6,19,21.1,20.3,25.1,22.9
18.6,20.6,20.4,20.9,25.9,25.7
17.3,17.4,20.4,22,27.1,26.4
18.1,16.2,20.7,22.5,26.9,26
19.1,16.3,21.2,22.9,25.3,27.2
20.1,19.5,21,23.4,24.2,27.6
20.1,18.2,22.4,22.9,23,27.4
18.5,16.3,23.4,21.9,24.4,27.3
17.1,19.1,25.5,22.1,24.3,28
15.8,15.9,26.1,23.6,25.7,28
18.3,16.1,23.8,24.2,27.4,24.4
18.7,15.3,21,24.2,24.7,25.1
21,15.5,20.3,24.8,24.4,23.7
17.2,16.6,18,22.4,24.5,24
18.7,18.5,18,22.5,23.9,25.7
18.3,17.8,18.7,22.6,26,26.2
19.8,18.3,17.6,23.6,26.5,25.3
18.9,19.2,,26.2,,25.4
