32.5,29.4,29.7,,,
31.9,29.9,25.7,,,
30.9,30.1,29.1,,,
32.8,30.2,30,,,
32.3,32.8,29.7,,,
33.2,33.3,31.1,,,
33.9,28.2,35.2,,,
33,23.7,29.6,,,
28.5,26.9,29.1,,,
29.8,27.8,28.5,,,
26.1,28.5,27.6,,,
25.2,30.3,30.1,,,
22.7,30.8,30.7,,,
26.8,30.7,30.2,,,
29.8,31.9,29.2,,,
29.9,35.3,28.9,,,
28.5,29.5,28.6,,,
30.9,30.1,27.4,,,
30.5,32.1,29,,,
30.6,27.6,29.6,,,
30.7,27.4,33.7,,,
32.5,29.2,33.6,,,
32.3,29.3,32.1,,,
28.2,30.1,29.8,,,
28.4,28.9,28.7,,,
28.1,30.6,31.8,,,
29.3,31.4,30.8,,,
30.3,30.6,31.4,,,
30.5,30.4,,,,
26.2,30.2,,,,
29.6,30.4,,,,
